dataset,seed_no,measurement_type,measurement_num,EXTREME_pixel_observe,measurement_loss,MSE_loss,noise,round
mnist,2024,gaussian_block_adaptive,20,NA,62.35807268204908,0.017268559472002714,5_0,0
mnist,2024,gaussian_block_adaptive,20,NA,59.23872235412159,0.10458932275378445,5_0,1
mnist,2024,gaussian_block_adaptive,20,NA,47.72448514673559,0.10546007464850231,5_0,2
mnist,2024,gaussian_block_adaptive,30,NA,43.929299969324624,0.09433233819232903,5_0,0
mnist,2024,gaussian_block_adaptive,30,NA,45.3194375669241,0.03219114090053764,5_0,1
mnist,2024,gaussian_block_adaptive,30,NA,53.74532164212561,0.043718085888098994,5_0,2
mnist,2024,gaussian_block_adaptive,40,NA,44.01740438107437,0.027826450451250522,5_0,0
mnist,2024,gaussian_block_adaptive,40,NA,54.36883590256589,0.037289437865743104,5_0,1
mnist,2024,gaussian_block_adaptive,40,NA,65.25944031705554,0.021739282183029816,5_0,2
mnist,2024,gaussian_block_adaptive,50,NA,37.13782144060757,0.015119927492983914,5_0,0
mnist,2024,gaussian_block_adaptive,50,NA,54.15499445066919,0.01398961605025532,5_0,1
mnist,2024,gaussian_block_adaptive,50,NA,82.5431341474866,0.04658415645810813,5_0,2
mnist,2024,gaussian_block_adaptive,10,NA,32.99561538603048,0.1251628811809102,10_0,0
mnist,2024,gaussian_block_adaptive,10,NA,36.013762314487124,0.07115869100177388,10_0,1
mnist,2024,gaussian_block_adaptive,10,NA,41.01783958631213,0.09386603734345574,10_0,2
mnist,2024,gaussian_block_adaptive,20,NA,89.74547267642747,0.04011132623971913,10_0,0
mnist,2024,gaussian_block_adaptive,20,NA,108.1006512447423,0.09829916306868908,10_0,1
mnist,2024,gaussian_block_adaptive,20,NA,65.50803563267559,0.0669517053401385,10_0,2
mnist,2024,gaussian_block_adaptive,30,NA,169.69590365212136,0.05476673453745636,10_0,0
mnist,2024,gaussian_block_adaptive,30,NA,79.6532588938658,0.0588510780230483,10_0,1
mnist,2024,gaussian_block_adaptive,30,NA,87.77823676761842,0.05391232015580821,10_0,2
mnist,2024,gaussian_block_adaptive,40,NA,86.03580960922787,0.042950043901479655,10_0,0
mnist,2024,gaussian_block_adaptive,40,NA,129.06170317042657,0.09421107955406778,10_0,1
mnist,2024,gaussian_block_adaptive,40,NA,85.35573476450185,0.04820304337352364,10_0,2
mnist,2024,gaussian_block_adaptive,50,NA,110.00521683030345,0.062318081470153226,10_0,0
mnist,2024,gaussian_block_adaptive,50,NA,121.05560257212974,0.04789843329091154,10_0,1
mnist,2024,gaussian_block_adaptive,50,NA,99.1822740151675,0.0395088458879125,10_0,2
mnist,2024,gaussian_block_adaptive,10,NA,173.37963482048326,0.10404197125768544,20_0,0
mnist,2024,gaussian_block_adaptive,10,NA,26.92409398994632,0.07900777597963829,20_0,1
